,TOWN_CODE,LOCATION,ABE_DA,AEN_DA,AREA_TA,UN_NA,LASTMOD,POLY_LIST,splitArea
,2106,安中1街132號(旁),2018.07.05,2018.09.05,2.4,台灣電力公司台南區營業處,2019-01-19T10:23:17.660,"[120.20537429414803, 23.036478440067786]",151.0
,2101,起崇善路(崇道路)訖崇善東路,2018.07.06,2018.08.30,11.52,三冠王有線電視股份有限公司,2018-10-25T00:52:53.640,"[120.2321186533684, 22.96707183835995]",10.0
,2102,起府前路(永福路)訖西門路,2018.07.06,2018.09.05,4.32,三冠王有線電視股份有限公司,2018-10-25T00:49:43.487,"[120.20022030742535, 22.989933641332748]",60.0
,2101,德東街90號,2018.07.06,2018.09.03,3.9,台灣電力公司台南區營業處,2018-10-19T09:22:02.973,"[120.23008020779804, 22.96168048318813]",9.0
,2108,永中街121號,2018.07.06,2018.09.17,3,中華電信公司台南營運處第一客網中心四股,2018-12-11T10:49:03.840,"[120.25865332915022, 23.02587915739135]",138.0
,2108,正南五街470號,2018.07.06,2018.09.17,7.2,中華電信公司台南營運處第一客網中心四股,2019-01-02T21:08:49.163,"[120.23553764683736, 23.038093933259702]",154.0
,2108,起中正路115號,2018.07.06,2018.09.10,1.2,中華電信公司台南營運處第一客網中心四股,2019-01-10T11:28:54.017,"[120.25310509569609, 23.03068696865143]",138.0
,2101,裕忠2街15號,2018.07.06,2018.09.06,12.6,台灣電力公司台南區營業處,2019-01-22T17:47:59.950,"[120.24112039910702, 22.979826081774625]",47.0
,2108,龍橋街184號,2018.07.06,2018.10.03,2,台灣自來水股份有限公司第六區管理處永康服務所,2019-02-18T16:53:55.403,"[120.2645895761632, 23.038325357762965]",157.0
,2101,起崇道路114號,2018.07.07,2018.09.30,2.4,欣南天然氣股份有限公司,2018-11-02T09:40:48.077,"[120.22892336809424, 22.972072086245788]",27.0
,2107,育平9街372巷89弄(與育平7街60巷口),2018.07.09,2018.10.06,6.6,欣南天然氣股份有限公司,2019-01-28T17:59:43.620,"[120.16550444631797, 22.994969652176795]",57.0
,2107,起太平路(與)訖安平路(交叉口),2018.07.09,2018.09.09,1.44,台灣電力公司台南區營業處,2019-01-09T20:57:20.127,"[120.15325804216056, 22.998707481145058]",74.0
,2107,起安北路(與)訖安平路990巷(交叉口),2018.07.09,2018.09.09,2.88,台灣電力公司台南區營業處,2019-01-09T20:56:48.300,"[120.15449880909796, 23.000567923123242]",74.0
