0,1,2,3,4,5,6,7,8,9,10,11,12,13,hole,splitArea
309,1080900388,2019/09/24 15:15:39,結案,PC,養護工程科一股,鄭世衡,人手孔周圍沉陷或損壞,永康區,鋪面,人手孔周圍沉陷或損壞,,永康區、北區、中西區,經度:120.237145074705 緯度:23.0111317706274X_97坐標:171802.809372619 Y_97坐標:2545719.28436627,0,100.0
312,1080900385,2019/09/24 15:08:16,結案,PC,養護工程科一股,鄭世衡,人手孔周圍沉陷或損壞,永康區,鋪面,人手孔周圍沉陷或損壞,,永康區:手孔調升共11座,經度:120.253644585509 緯度:22.9992341156852X_97坐標:173487.467201598 Y_97坐標:2544393.03470075,0,84.0
315,1080900382,2019/09/24 15:02:12,結案,PC,養護工程科一股,鄭世衡,人手孔周圍沉陷或損壞,中西區,鋪面,人手孔周圍沉陷或損壞,,柳營區 永康區 東區 北區 新市區 中西區 六甲區,經度:120.20643548797 緯度:22.9907230164089X_97坐標:168642.523859798 Y_97坐標:2543475.92677509,0,61.0
318,1080900379,2019/09/24 14:48:30,結案,PC,養護工程科一股,鄭世衡,人手孔周圍沉陷或損壞,新化區,鋪面,人手孔周圍沉陷或損壞,,永康區:加設墊片 共3座 、新化區:加設墊片 共20座,經度:120.298659059777 緯度:23.0337082271735X_97坐標:178120.558033873 Y_97坐標:2548187.88137165,0,160.0
320,1080900377,2019/09/24 14:41:58,結案,PC,養護工程科一股,鄭世衡,人手孔周圍沉陷或損壞,永康區,鋪面,人手孔周圍沉陷或損壞,,永康區:加設墊片 共17座,經度:120.267805844007 緯度:23.0074587497116X_97坐標:174943.810953185 Y_97坐標:2545296.50552033,1,103.0
324,1080900373,2019/09/24 14:35:23,結案,PC,養護工程科一股,鄭世衡,人手孔周圍沉陷或損壞,新化區,鋪面,人手孔周圍沉陷或損壞,,永康區:加設墊片 共14座,經度:120.269944884587 緯度:23.0106029345211X_97坐標:175164.82346271 Y_97坐標:2545643.59678779,1,103.0
328,1080900369,2019/09/24 14:26:32,結案,PC,養護工程科一股,鄭世衡,人手孔周圍沉陷或損壞,永康區,鋪面,人手孔周圍沉陷或損壞,,中西區:加設墊片 共10座 永康區:加設墊片 共6座,經度:120.273465798603 緯度:23.0162674846303X_97坐標:175528.862317332 Y_97坐標:2546269.09188214,0,122.0
331,1080900366,2019/09/24 14:18:59,結案,PC,養護工程科一股,鄭世衡,人手孔周圍沉陷或損壞,新化區,鋪面,人手孔周圍沉陷或損壞,,新化區:加設墊片12座 北區:加設墊片10座,經度:120.186856740945 緯度:22.999105298679X_97坐標:166640.334256886 Y_97坐標:2544415.18005339,0,77.0
334,1080900363,2019/09/24 14:08:52,結案,PC,養護工程科一股,鄭世衡,人手孔周圍沉陷或損壞,新化區,鋪面,人手孔周圍沉陷或損壞,,新化區:加設墊片18座,經度:120.297600222861 緯度:23.0391699743956X_97坐標:178014.937214298 Y_97坐標:2548793.23138435,0,160.0
359,1080900337,2019/09/24 08:41:13,結案,PC,第一工務大隊,吳建中,路面掏空,安南區,鋪面,路面掏空,,怡安路一段476號前掏空搶修,經度:120.204908200786 緯度:23.0426189087763X_97坐標:168517.121459656 Y_97坐標:2549223.75810516,0,169.0
363,1080900333,2019/09/23 17:55:01,結案,PC,第一工務大隊,黃富美,路面掏空,安平區,鋪面,路面掏空,,安平區,經度:120.173504967931 緯度:22.989564906343X_97坐標:165265.55328592 Y_97坐標:2543366.32135467,0,58.0
364,1080900332,2019/09/23 17:54:10,指定主管簽核,PC,第一工務大隊,黃富美,路面掏空,安平區,鋪面,路面掏空,,安平區,經度:120.170738525676 緯度:22.9983701320582X_97坐標:164987.4299873 Y_97坐標:2544343.02131996,0,75.0
365,1080900331,2019/09/23 17:53:17,已派工,PC,第一工務大隊,黃富美,路面掏空,安平區,鋪面,路面掏空,,安平區,經度:120.175961486221 緯度:22.9929865371767X_97坐標:165519.542811786 Y_97坐標:2543743.81862924,0,58.0
373,1080900323,2019/09/23 14:11:52,結案,PC,第一工務大隊,黃富美,路面掏空,安平區,鋪面,路面掏空,,安平區,經度:120.157082065323 緯度:22.9909417380741X_97坐標:163582.6266455 Y_97坐標:2543528.37466176,0,56.0
375,1080900321,2019/09/23 14:11:02,完工登錄(至承辦),PC,第一工務大隊,黃富美,路面掏空,安平區,鋪面,路面掏空,,安平區,經度:120.166449928173 緯度:22.9994048499367X_97坐標:164548.41 Y_97坐標:2544460.1,0,75.0
377,1080900319,2019/09/23 14:10:20,已派工,PC,第一工務大隊,黃富美,修補變壞,安平區,鋪面,修補變壞,,安平區,經度:120.160938283487 緯度:23.0029339566802X_97坐標:163985.590959275 Y_97坐標:2544854.14051308,1,74.0
378,1080900318,2019/09/23 14:07:00,已派工,PC,第一工務大隊,黃富美,路面掏空,安平區,鋪面,路面掏空,,安平區,經度:120.181096447122 緯度:22.9838401247421X_97坐標:166040.35 Y_97坐標:2542727.99,0,40.0
398,1080900286,2019/09/19 14:38:42,結案,PC,養護工程科一股,鄭世衡,路面破(龜)裂,永康區,鋪面,路面破(龜)裂,,永康區.路面破裂共4件,經度:120.264553581035 緯度:23.0122557646263X_97坐標:174613.078886631 Y_97坐標:2545829.3933545,0,103.0
413,1080900266,2019/09/18 15:12:52,派工中,PC,養護工程科一股,朱利安,路面坑洞,永康區,鋪面,路面坑洞,,大仁路,經度:120.255913504863 緯度:23.0027853103826X_97坐標:173722.07 Y_97坐標:2544785.11,1,84.0
484,1080900182,2019/09/12 14:34:39,結案,PC,第一工務大隊,葉明晉,路面坑洞,東區,鋪面,路面坑洞,,凱旋路與東光路口等掏空修復,經度:120.231147597442 緯度:22.9924553545641X_97坐標:171177.160953843 Y_97坐標:2543654.27194,0,63.0
512,1080900146,2019/09/11 11:58:13,結案,PC,第一工務大隊,吳建中,路面掏空,安南區,鋪面,路面掏空,,育英街(康寧大學門前200公尺處)等二處搶修,經度:120.152374390825 緯度:23.0571645905773X_97坐標:163142.4 Y_97坐標:2550864.79,0,181.0
553,1080900104,2019/09/10 08:32:31,完工通報核准,PC,第三工務大隊,陳緯剛,路面坑洞,新化區,鋪面,路面坑洞,,台南市全區,經度:120.310794765578 緯度:23.038597420638X_97坐標:179366.92 Y_97坐標:2548723.4,0,162.0
568,1080900088,2019/09/09 21:18:23,結案,PC,第一工務大隊,葉明晉,路面坑洞,東區,鋪面,路面坑洞,,中華東路三段380巷59號等掏空修復,經度:120.228439692325 緯度:22.9804280605216X_97坐標:170892.53 Y_97坐標:2542323.83,0,45.0
569,1080900087,2019/09/09 21:13:59,結案,PC,第一工務大隊,葉明晉,路面坑洞,東區,鋪面,路面坑洞,,小東路258巷口水溝阻塞等清查修復,經度:120.215895334345 緯度:22.9852922702528X_97坐標:169609.19 Y_97坐標:2542869.31,0,44.0
570,1080900086,2019/09/09 21:08:42,結案,PC,第一工務大隊,葉明晉,路面坑洞,東區,鋪面,路面坑洞,,長榮路與東門路口等掏空修復,經度:120.213940550613 緯度:22.9881474933647X_97坐標:169410.46 Y_97坐標:2543186.57,0,62.0
571,1080900085,2019/09/09 21:04:17,結案,PC,第一工務大隊,葉明晉,路面坑洞,東區,鋪面,路面坑洞,,東寧路18號前等掏空修復,經度:120.225474222562 緯度:22.9916150774544X_97坐標:170595.01 Y_97坐標:2543564.28,0,63.0
572,1080900084,2019/09/09 20:55:38,結案,PC,第一工務大隊,葉明晉,路面坑洞,中西區,鋪面,路面坑洞,,民生路二段383號旁等掏空修復,經度:120.192884546312 緯度:22.9964715233802X_97坐標:167256.7 Y_97坐標:2544120.1,0,60.0
579,1080900077,2019/09/09 10:28:13,結案,PC,第一工務大隊,許均凱,路面鋪面變形推擠,安南區,鋪面,路面鋪面變形推擠,,慶和路二段(慶和路二段58號東陽公司大門前~長和路一段口) 路面改善,經度:120.232400025295 緯度:23.0534348410545X_97坐標:171340.95 Y_97坐標:2550406.48,0,190.0
580,1080900076,2019/09/09 09:54:56,結案,PC,第一工務大隊,許均凱,路面破(龜)裂,北區,鋪面,路面破(龜)裂,,北區中華北路(北區中華北路一段78巷至大興街口)東側路面改善工程,經度:120.185383719669 緯度:23.0100259481557X_97坐標:166496.04 Y_97坐標:2545625.38,0,95.0
583,1080900073,2019/09/08 08:40:14,錄案,手機,泉棸營造有限公司,周巡查,路面坑洞,永康區,鋪面,路面坑洞,,永康區一180線 大灣東路358號,經度:120.2690528 緯度:23.0015271X_97坐標:175068.35 Y_97坐標:2544639,0,85.0
584,1080900072,2019/09/08 08:37:49,錄案,手機,泉棸營造有限公司,周巡查,路面坑洞,永康區,鋪面,路面坑洞,,永康區一180線  大灣東路346號,經度:120.2689926 緯度:23.0014443X_97坐標:175062.14 Y_97坐標:2544629.86,0,85.0
623,1080900025,2019/09/02 16:37:22,結案,PC,養護工程科一股,鄭世衡,路面破(龜)裂,南區,鋪面,路面破(龜)裂,,南區.管道修復.AC修補.共9件,經度:120.21184393708 緯度:22.9672488636925X_97坐標:169183.07 Y_97坐標:2540873.41,0,8.0
626,1080900022,2019/09/02 16:05:13,結案,PC,養護工程科一股,鄭世衡,路面坑洞,永康區,鋪面,路面坑洞,,永康區.開挖修復,經度:120.254999763763 緯度:23.0296636940522X_97坐標:173643.53 Y_97坐標:2547762.09,1,138.0
648,1080800416,2019/08/30 17:02:01,結案,PC,第一工務大隊,葉明晉,路面坑洞,中西區,鋪面,路面坑洞,,海安路一段62號前地磚整修等修復工程,經度:120.196725075821 緯度:22.9972484918348X_97坐標:167650.91 Y_97坐標:2544203.98,0,78.0
649,1080800415,2019/08/30 16:58:27,結案,PC,第一工務大隊,葉明晉,路面坑洞,東區,鋪面,路面坑洞,,崇明路停車格018號掏空等修復工程,經度:120.222285082623 緯度:22.974692260064X_97坐標:170258.11 Y_97坐標:2541691.98,0,27.0
651,1080800413,2019/08/30 16:51:36,結案,PC,第一工務大隊,葉明晉,路面坑洞,中西區,鋪面,路面坑洞,,郡西路101號前路面掏空等修復工程,經度:120.194799746015 緯度:22.9914876140026X_97坐標:167450.02 Y_97坐標:2543567.1,0,60.0
